VersionId,TabTitle,TemplateKey,Server,Database,ConnectionName,SemanticEntity,Schema,PhysicalObject,ObjectKind,Top,PowerQueryModelShaping
192,Aging Report-Hourly Updates,csr_aging-report-hourly-updates,app100.camhydro.com,corporate_dashboards,csr_pbip_source,aging_trans_details,dbo,aging_trans_details,auto,50000,Replace null trans_type with CR; remove rows where trans_type is a single space.
192,Aging Report-Hourly Updates,csr_aging-report-hourly-updates,app100.camhydro.com,corporate_dashboards,csr_pbip_source,agingcube_net,dbo,agingcube_net,auto,100000,Rename ACCOUNT to Account.
193,Residential No EPP Aging - With Non-Current Debt,csr_residential-no-epp-aging-with-non-current-debt,app100.camhydro.com,corporate_dashboards,csr_pbip_source,agingcube_net_30daysplus,dbo,agingcube_net_30daysplus,auto,100000,Direct semantic-to-physical column mapping from PBIP model.
194,Commercial No EPP Aging - With Non-Current Debt,csr_commercial-no-epp-aging-with-non-current-debt,app100.camhydro.com,corporate_dashboards,csr_pbip_source,agingcube_net_30daysplus,dbo,agingcube_net_30daysplus,auto,100000,Direct semantic-to-physical column mapping from PBIP model.
195,Aging Dynamics-Hourly Updates,csr_aging-dynamics-hourly-updates,app100.camhydro.com,corporate_dashboards,csr_pbip_source,aging_param_history_sum,dbo,aging_param_history_sum,auto,50000,Direct semantic-to-physical column mapping from PBIP model.
196,Top Arrears Accounts-Hourly Updates,csr_top-arrears-accounts-hourly-updates,app100.camhydro.com,corporate_dashboards,csr_pbip_source,agingcube_net,dbo,agingcube_net,auto,100000,Rename ACCOUNT to Account.
197,Monthly Moves,csr_monthly-moves,app100.camhydro.com,corporate_dashboards,csr_pbip_source,monthly_move_stats,dbo,monthly_move_stats,auto,50000,Direct semantic-to-physical column mapping from PBIP model.
198,Mitel Report,csr_mitel-report,app100.camhydro.com,corporate_dashboards,csr_pbip_source,mitel,dbo,mitel,auto,50000,"Rename TimeIntervalFormatted→Interval, LongerCalls→Long Calls, Time→Calls, Full Name→Agent; calculate Long Call Flag and Duration_Time."
198,Mitel Report,csr_mitel-report,app100.camhydro.com,corporate_dashboards,csr_pbip_source,mitel_dynamics,dbo,mitel,auto,50000,"Convert Date to date; rename LongerCalls→Long Calls, Time→Calls, Full Name→Agent; calculate Long Call Flag and Duration_Time."
199,Queue Spectrum Report,csr_queue-spectrum-report,app100.camhydro.com,corporate_dashboards,csr_pbip_source,queue_group_answer_spectrum,dbo,queue_group_answer_spectrum,auto,50000,Rename month_abbr→m; preserve year/month/date hierarchy aliases.
200,Customer Payments Daily,csr_customer-payments-daily,app100.camhydro.com,corporate_dashboards,csr_pbip_source,ns_daily_cash_by_cycle_view,dbo,ns_daily_cash_by_cycle_view,auto,60000,Rename TRANS_AMT→Amount and DESCRIPTION→Types; replace null Types with empty string; sort Types descending.
201,Customer Payments Monthly,csr_customer-payments-monthly,app100.camhydro.com,corporate_dashboards,csr_pbip_source,ns_daily_cash_by_cycle_view,dbo,ns_daily_cash_by_cycle_view,auto,60000,Rename TRANS_AMT→Amount and DESCRIPTION→Types; replace null Types with empty string; sort Types descending.
202,Senior CC Emails,csr_senior-cc-emails,app100.camhydro.com,corporate_dashboards,csr_pbip_source,queue_group_answer_spectrum,dbo,queue_group_answer_spectrum,auto,50000,Rename month_abbr→m; preserve year/month/date hierarchy aliases.
202,Senior CC Emails,csr_senior-cc-emails,app100.camhydro.com,corporate_dashboards,csr_pbip_source,seniorcc_emails,dbo,seniorcc_emails,auto,50000,Direct semantic-to-physical column mapping from PBIP model.
203,Collection Emails,csr_collection-emails,app100.camhydro.com,corporate_dashboards,csr_pbip_source,collections_emails_view,dbo,collections_emails_view,auto,50000,Direct semantic-to-physical column mapping from PBIP model.
204,Collection Report,csr_collection-report,app100.camhydro.com,corporate_dashboards,csr_pbip_source,collection_function,dbo,ns_collection_submission_accounts_pbi,function,50000,"Query dbo.ns_collection_submission_accounts_pbi(); semantic aliases Account, Occupant, category_code, Balance, Date In."
